"Búsquese una Vida -El Kanka-",2018
"Bruce Willis -Gativideo-",2018
"Sin Triangle -Sidney Gish-",2017
"No Woman -Whitney-",2016
"Parade -Kevin Morby-",2014
"また明日 (Alternate Version) -Ogre You Asshole-",2013
"It Takes Time To Be A Man -The Rapture-",2011
"Where'd All The Time Go? -Dr. Dog-",2010
"This Year -The Mountain Goats",2005
"Here's Your Future -The Thermals-",2005
